row_id,order_id,created_at,item_id,quantity,cust_name,in_or_out
1,ORD001,2/12/2024 7:04,It008,1,Avery Thomas,out
2,ORD002,2/12/2024 7:09,It014,1,Jordan LONG,in
3,ORD003,2/12/2024 7:14,It008,1,"Gonzalez, Riley",out
4,ORD004,2/12/2024 7:18,It019,1,Casey JENKINS,out
5,ORD005,2/12/2024 7:23,It024,1,Skyler Isaac Johnson,out
6,ORD006,2/12/2024 7:28,It001,1,Morgan E. Hall,out
7,ORD006,2/12/2024 7:28,It016,1,Morgan E Hall,to go
8,ORD007,2/12/2024 7:33,It005,1,Riley L. Roberts,out
9,ORD007,2/12/2024 7:33,It020,1,riley Roberts,
10,ORD008,2/12/2024 7:39,it006,1,Cameron L. Hill,OUT
11,ORD008,2/12/2024 7:39,It018,1,Cameron Hill,
12,ORD009,2/12/2024 7:44,It023,1,"Powell, Quinn D",out
13,ORD009,2/12/2024 7:44,It011,1,Quinn-D. Powell,
14,ORD010,2/12/2024 7:49,It024,1,Peyton-A. Scott,out
15,ORD010,2/12/2024 7:49,It014,1,Peyton Scott,in
16,ORD011,2/12/2024 7:53,It003,1,"Martinez, Jordan",out
17,ORD012,2/12/2024 7:58,It007,1,Blake Jenkins,out
18,ORD013,2/12/2024 8:03,It009,1,"Jackson, Charlie",in
19,ORD013,2/12/2024 8:03,It021,1,CHARLIE G. JACKSON,
20,ORD014,2/12/2024 8:08,It012,1,Dakota Richardson,in
21,ORD014,2/12/2024 8:08,It022,1,Dakota-M. Richardson,
22,ORD015,2/12/2024 8:12,It004,1,Emerson A Roberts,out
23,ORD016,2/12/2024 8:17,It002,1,Finley PATTERSON,Togo
24,ORD017,2/12/2024 8:22,It001,1,harper Coleman,in
25,ORD018,2/12/2024 8:26,It014,1,Jordan  B  Wright,out
26,ORD019,2/12/2024 8:31,It011,1,Morgan-D. Flores,in
27,ORD020,2/12/2024 8:36,It017,1,Morgan  N  Peterson,out
28,ORD020,2/12/2024 8:36,It020,1,Morgan N. Peterson,
29,ORD021,2/12/2024 8:41,It005,1,Morgan Young,out
30,ORD022,2/12/2024 8:45,It006,1,Niam B. Murphy,in
31,ORD022,2/12/2024 8:45,It014,1,Riley  G  Thompson,
32,ORD023,2/12/2024 8:50,It008,1,"Edwards, Alex",out
33,ORD024,2/12/2024 8:55,It016,1,JORDAN L. GREEN,out
34,ORD025,2/12/2024 9:00,It006,1,Taylor A Rogers,out
35,ORD026,2/12/2024 9:04,it019,1,Casey R Walker,in
36,ORD027,2/12/2024 9:09,It009,1,Jamie Martinez,out
37,ORD028,2/12/2024 9:14,It001,1,"Murphy, Samuel",in
38,ORD028,2/12/2024 9:14,It016,1,Samuel W Murphy,
39,ORD029,2/12/2024 9:19,It005,1,Riley D. Wilson,carry out
40,ORD029,2/12/2024 9:19,It020,1,Riley WILSON,
41,ORD029,2/12/2024 9:19,It012,1,Riley Wilson,
42,ORD030,2/12/2024 9:35,it004,1,"Sanchez, Jordan",IN
43,ORD031,2/12/2024 9:48,It021,1,Harper J. Allen,out
44,ORD032,2/12/2024 10:02,It007,1,Casey  M  Jenkins,out
45,ORD033,2/12/2024 10:17,It0010,1,NIAM L. THOMPSON,out
46,ORD034,2/12/2024 10:33,It017,1,ALEX M. THOMPSON,in
47,ORD035,2/12/2024 10:50,It009,1,"Reed, Jamie I",out
48,ORD036,2/12/2024 11:08,It018,1,Taylor PERRY,out
49,ORD037,2/12/2024 11:27,It005,1,Quinn KELLY,in
50,ORD037,2/12/2024 11:27,It002,1,Quinn M Kelly,
51,ORD038,2/12/2024 12:08,It015,1,Jasmin M. Richardson,IN
52,ORD038,2/12/2024 12:08,It003,1,"Richardson, Jasmin",pickup
53,ORD038,2/12/2024 12:08,It016,1,Jasmin M Richardson,
54,ORD039,2/12/2024 12:10,It005,1,Riley  K  Watson,out
55,ORD039,2/12/2024 12:10,It020,1,riley Watson,
56,ORD040,2/12/2024 12:11,It006,1,robin Reed,out
57,ORD040,2/12/2024 12:11,It018,1,Robin R Reed,take-out
58,ORD041,2/12/2024 12:16,It023,1,"Cooper, Quinn D",in
59,ORD041,2/12/2024 12:16,It011,1,"Cooper, Quinn",
60,ORD041,2/12/2024 12:16,It011,1,Quinn COOPER,
61,ORD042,2/12/2024 12:18,It004,1,Alex-A. Williams,out
62,ORD043,2/12/2024 12:21,It022,1,Jamie M. Wright,out
63,ORD044,2/12/2024 12:23,It018,1,"Bennett, Riley",carry out
64,ORD045,2/12/2024 12:26,It017,1,Jamie Cooper,in
65,ORD046,2/12/2024 12:29,It009,1,"Edwards, Casey D",out
66,ORD047,2/12/2024 12:32,It009,1,Brooke PEREZ,in
67,ORD048,2/12/2024 12:35,It012,1,Jamie HERNANDEZ,take-out
68,ORD049,2/12/2024 12:38,It005,1,Peyton Keith Gray,in
69,ORD050,2/12/2024 12:41,It019,1,morgan Miller,out
70,ORD051,2/12/2024 12:44,It020,1,SAMUEL E. JAMES,in
71,ORD052,2/12/2024 12:47,It021,1,Cameron Lynn Perez,
72,ORD053,2/12/2024 12:50,It014,1,Avery-E. Parker,in
73,ORD054,2/12/2024 12:53,It016,4,Quinn I. Flores,out
74,ORD055,2/12/2024 12:56,It023,1,taylor Reed,out
75,ORD056,2/12/2024 12:59,It020,,"Perry, Christopher",out
76,ORD057,2/12/2024 13:02,It013,1,riley Torres,in
77,ORD058,2/12/2024 13:05,It001,1,Alex Baker,dine in
78,ORD059,2/12/2024 13:08,It003,1,Casey G. Garcia,Take Out
79,ORD060,2/12/2024 13:11,It008,1,Brooke  E  Bennett,out
80,ORD061,2/12/2024 13:13,It002,,JORDAN M. WASHINGTON,in
81,ORD061,2/12/2024 13:13,It007,1,Jordan WASHINGTON,
82,ORD062,2/12/2024 13:15,It019,1,Unknown,out
83,ORD063,2/12/2024 13:17,It021,1,cameron Barnes,out
84,ORD063,2/12/2024 13:17,It005,1,Cameron  E  Barnes,
85,ORD063,2/12/2024 13:17,It014,1,"Barnes, Cameron E",
86,ORD064,2/12/2024 13:20,It004,1,Casey LONG,in
87,ORD064,2/12/2024 13:20,It003,1,Casey  A  Long,
88,ORD065,2/12/2024 13:22,It012,1,Taylor I Kelly,out
89,ORD065,2/12/2024 13:22,It009,1,"Kelly, Taylor",
90,ORD066,2/12/2024 13:25,It018,1,Samuel-B. Thompson,out
91,ORD066,2/12/2024 13:25,It022,1,samuel Thompson,
92,ORD067,2/12/2024 13:27,It011,1,"Robinson, Jamie",out
93,ORD067,2/12/2024 13:27,It015,,Jamie R Robinson,
94,ORD068,2/12/2024 13:30,It006,1,"Brooks, Morgan",out
95,ORD068,2/12/2024 13:30,It022,1,Morgan Dawn Brooks,
96,ORD069,2/12/2024 13:32,It010,1,JAMIE E. ANDERSON,out
97,ORD069,2/12/2024 13:32,It024,1,Jamie Anderson,
98,ORD070,2/12/2024 13:35,It001,1,Peyton Jackson,in
99,ORD070,2/12/2024 13:35,It017,1,Peyton Jackson,
100,ORD078,2/12/2024 13:55,It020,1,Alex Gray,out
101,ORD079,2/12/2024 14:05,It021,2,Harper-G. Allen,in
102,ORD080,2/12/2024 14:17,It004,1,Taylor Torres,IN
103,ORD080,2/12/2024 14:17,It013,1,taylor Torres,Take Out
104,ORD081,2/12/2024 14:30,It018,1,Skyler Anthony Hughes,in
105,ORD082,2/12/2024 14:45,It007,2,JORDAN R. COOK,in
106,ORD082,2/12/2024 14:45,It011,1,Jordan R Cook,
107,ORD083,2/12/2024 15:00,It013,1,Riley Roberts,out
108,ORD084,2/12/2024 15:20,It009,1,Jamie  D  Collins,in
109,ORD084,2/12/2024 15:20,It003,1,"Collins, Jamie",
110,ORD085,2/12/2024 15:40,It014,1,Morgan-A. Hall,out
111,ORD085,2/12/2024 15:40,It022,1,Morgan Hall,Take Out
112,ORD086,2/12/2024 16:00,It005,1,Andrew A Sanders,out
113,ORD087,2/12/2024 16:25,It017,1,Avery Harris,out
114,ORD088,2/12/2024 16:50,It012,1,"Roberts, Quinn E",out
115,ORD089,2/12/2024 17:00,It001,1,Samuel Morgan,carry out
116,ORD090,2/13/2024 7:14,It002,1,Alex L. Jenkins,out
117,ORD091,2/13/2024 7:19,It004,1,Riley Clark,in
118,ORD091,2/13/2024 7:19,It028,1,Riley L. Clark,
119,ORD092,2/13/2024 7:24,It017,1,Cameron Elizabeth Carter,in
120,ORD093,2/13/2024 7:30,It023,1,"Perez,   alex E",in
121,ORD093,2/13/2024 7:30,It011,1,Alex-E. Perez,
122,ORD094,2/13/2024 7:35,It006,1,Jordan D Hernandez,out
123,ORD095,2/13/2024 7:40,It021,1,Alex-E. Flores,in
124,ORD096,2/13/2024 7:45,It015,1,casey Miller,out
125,ORD097,2/13/2024 7:50,It008,1,Jamie Hall,in
126,ORD097,2/13/2024 7:50,It024,1,jamie Hall,
127,ORD098,2/13/2024 7:56,It001,1,Morgan WHITE,out
128,ORD099,2/13/2024 8:01,It019,1,Riley Bell,in
129,ORD100,2/13/2024 8:06,It003,1,"Gonzalez, Cameron L",out
130,ORD100,2/13/2024 8:06,It027,1,Cameron L Gonzalez,
131,ORD101,2/13/2024 8:11,It022,1,Quinn Harris,in
132,ORD102,2/13/2024 8:17,It018,1,"Flores, Riley M",
133,ORD103,2/13/2024 8:22,It005,1,Brooke Parker,in
134,ORD103,2/13/2024 8:22,It012,1,Brooke PARKER,
135,ORD104,2/13/2024 8:27,It010,1,Samuel TURNER,out
136,ORD105,2/13/2024 8:32,It007,1,alex Howard,in
137,ORD106,2/13/2024 8:38,It026,1,"Reed, Patrick L",OUT
138,ORD106,2/13/2024 8:38,It020,1,patrick Reed,
139,ORD107,2/13/2024 8:43,It014,1,"Sanchez, Christopher",in
140,ORD108,2/13/2024 8:48,It009,1,Jordan E Howard,out
141,ORD109,2/13/2024 8:53,It002,1,Taylor Lynn Mitchell,in
142,ORD109,2/13/2024 8:53,It016,1,Taylor Mitchell,
143,ORD110,2/13/2024 8:58,It013,1,alex Henderson,out
144,ORD111,2/13/2024 9:04,It025,1,jordan Morris,in
145,ORD112,2/13/2024 9:09,It004,1,Morgan R. Thomas,out
146,ORD113,2/13/2024 9:14,It021,1,Riley Marie Lee,OUT
147,ORD114,2/13/2024 9:19,It006,1,Cameron  L  Taylor,out
148,ORD115,2/13/2024 9:25,It019,1,QUINN L. COX,in
149,ORD116,2/13/2024 9:30,It003,1,Peyton E Green,out
150,ORD117,2/13/2024 9:35,It022,1,Brooke-E. Ramirez,in
151,ORD117,2/13/2024 9:35,It012,1,Brooke Elizabeth Ramirez,
